Grocery Stores,Food Outlets,Tourist Destinations,Hotels,Educational Institutions,Hospitals,Airports,Residential Housing Density,Commercial Housing Density,Fuel Stations & Car Wash,Apparels,Height Restrictor,Border Zone,Public Transportation,latitude,longitude,radius_miles
0,86,38,1,4,10,3,514,141,0,0,0,0,0,42.4814484,-83.2008619,3
0,40,0,0,1,4,3,184,19,0,0,0,0,0,42.6415156,-83.132691,3
0,41,1,0,2,14,2,373,192,0,0,0,0,0,42.4556977,-83.3375423,3
0,98,0,10,3,5,0,398,36,0,0,0,0,0,42.5269875,-83.1062306,3
0,26,0,0,1,0,1,345,72,0,0,0,0,0,42.4873478,-83.261828,3
0,34,0,1,0,1,1,270,19,0,0,0,0,0,42.5929477,-83.1090395,3
0,148,23,11,5,9,3,883,182,0,0,0,0,0,42.519463,-83.1458881,3
0,51,2,1,3,14,2,1346,186,0,0,0,0,0,42.4543497,-83.3763349,3
0,39,1,0,3,14,2,315,178,0,0,0,0,0,42.4410804,-83.3359158,3
0,161,38,10,7,3,0,456,122,0,0,0,0,0,42.5001975,-83.1253493,3
0,102,5,6,2,0,3,1322,116,0,0,0,0,0,42.4664911,-83.455726,3
0,55,3,0,4,1,3,1147,75,0,0,0,0,0,42.3611413,-83.4115675,3
0,206,9,13,15,24,3,1060,354,0,0,0,0,0,42.356016,-83.0724746,3
0,42,2,1,3,2,5,14,3,0,0,0,0,0,42.967526,-82.4319891,3
0,33,2,0,3,1,3,10,6,0,0,0,0,0,42.9679234,-82.4520143,3
0,46,0,1,7,0,0,797,28,0,0,0,0,0,42.278717,-85.649108,3
0,64,2,1,9,2,1,879,60,0,0,0,0,0,42.2811211,-85.6221928,3
0,66,3,0,4,10,1,382,33,0,0,0,0,0,42.2308942,-83.6447847,3
0,189,8,19,13,8,4,1891,201,0,0,0,0,0,42.2725032,-83.7498352,3
0,191,7,19,15,8,4,1947,188,0,0,0,0,0,42.2786837,-83.7411423,3
0,203,8,20,15,8,4,2043,207,0,0,0,0,0,42.2746715,-83.732968,3
0,9,0,3,2,0,4,84,8,0,0,0,0,0,42.2031076,-83.5439286,3
0,53,0,4,3,2,2,794,45,0,0,0,0,0,42.3360467,-83.4892087,3
0,15,0,3,3,1,0,417,11,0,0,0,0,0,42.2847261,-83.3491554,3
0,9,0,4,1,1,3,386,10,0,0,0,0,0,42.2673422,-83.3725532,3
0,11,0,4,2,1,0,400,11,0,0,0,0,0,42.2748322,-83.3570111,3
0,38,0,0,5,2,1,968,13,0,0,0,0,0,42.3093651,-83.3648835,3
0,5,0,2,2,0,0,324,13,0,0,0,0,0,42.2501,-83.4247893,3
